workerid,correct,tangram,gameId,trialNum,repNum,value,grouping
2983,0,A,5wn4MiopXyfXuTxG9,59,4,0.39839344136836935,"(0.375,0.498]"
2983,0,B,hqPW2hTEhEE5ANa9u,8,0,0.12121566854745132,"(0.104,0.181]"
2983,0,B,oXTMu3q59e3nffGz3,40,3,0.1266190234278357,"(0.104,0.181]"
2983,0,C,9AyhLQe5bddaES2Af,22,1,0.9993313276099108,"(0.949,1]"
2983,0,C,Ho7KBcTdiQgiorfmE,60,5,0.24471910315857695,"(0.181,0.268]"
2983,0,D,CNET4E5tvYW37ZevE,43,3,0.9924539340258284,"(0.949,1]"
2983,0,E,f69G9D9Q2uiv2MCJn,23,1,0.9894266554309686,"(0.949,1]"
2983,0,F,gjooqsuf2CPN5AWxi,71,5,0.9376089436722852,"(0.825,0.949]"
2983,0,G,GpF4Ge9YCd7ih3DFr,53,4,0.29103236165227914,"(0.268,0.375]"
2983,0,G,K7iDK8xmfJbE9RZZE,68,5,0.949641746440542,"(0.949,1]"
2983,0,H,FDXJ7stbQxKCkcKzv,6,0,0.5765579463604692,"(0.498,0.651]"
2983,0,H,pAtG6vt3AyaJypa2j,55,4,0.4374245981010269,"(0.375,0.498]"
2983,0,I,2928FF7GcrkeFiDkh,65,5,0.9954678494312792,"(0.949,1]"
2983,0,I,4mKoevW3ykd2FDr7L,71,5,0.5065475577430703,"(0.498,0.651]"
2983,0,I,6TPknLpCmx5X9X572,66,5,0.899347271099337,"(0.825,0.949]"
2983,0,I,XJWjbBteCLNDAtjaR,59,4,0.8126375676346249,"(0.651,0.825]"
2983,0,I,aJmxCcm4qPQKzrTZA,26,2,0.6807109631524837,"(0.651,0.825]"
2983,0,I,rSMFkjhskBteiyQMB,53,4,0.9566715597896512,"(0.949,1]"
2983,0,J,7eWGPqmG35RrZoezF,67,5,0.01279463359328024,"[1.9e-10,0.0427]"
2983,0,J,GfdodQMJHhNodveqQ,21,1,0.2601105308294271,"(0.181,0.268]"
2983,0,J,QeHxf8rJXN8MCSKYR,39,3,0.05487707402025221,"(0.0427,0.104]"
2983,0,K,6ZtMrReWRYFFydpHK,51,4,0.6393629069699547,"(0.498,0.651]"
2983,0,K,APb85jFMnKTvtxB9Q,55,4,0.00990776596716297,"[1.9e-10,0.0427]"
2983,0,K,vb35TJcSHPpKxAzJo,6,0,0.3203059154919197,"(0.268,0.375]"
2983,0,L,GPXXTJBweJggYMYrF,64,5,0.329927549849948,"(0.268,0.375]"
2983,0,L,cCSd3v7a6AH8fHsJE,58,4,0.671891389395259,"(0.651,0.825]"
2983,1,A,LfuChcnEB54q8Ztys,30,2,0.9440210774285296,"(0.825,0.949]"
2983,1,A,iWDET8rLPYMj9RE39,52,4,0.5025311396333277,"(0.498,0.651]"
2983,1,B,HzMWt9PN89uNHBpS8,22,1,0.09214253477988762,"(0.0427,0.104]"
2983,1,C,2gkxKTcPdQews5qTX,70,5,0.6358874652670837,"(0.498,0.651]"
2983,1,C,Ja6HX8DgvFAspRAYm,23,1,0.1361388090868976,"(0.104,0.181]"
2983,1,C,JnYAkqq7mqk9Gxdse,53,4,0.19589661612423015,"(0.181,0.268]"
2983,1,C,idfdowLZKpkzB8ypa,23,1,0.0581100344764159,"(0.0427,0.104]"
2983,1,C,vHHRDD5s36Ya2xGvS,36,3,0.4283721890452658,"(0.375,0.498]"
2983,1,C,xXhypRAC7tRGakzHn,20,1,0.01647812826931142,"[1.9e-10,0.0427]"
2983,1,D,AdiA5JEZBKJ4F5r4i,24,2,0.1700379338406944,"(0.104,0.181]"
2983,1,D,FmuScBvZuEj2zegE2,43,3,0.01439505335690635,"[1.9e-10,0.0427]"
2983,1,D,QzDZ9idpFkW6nHuCq,56,4,0.28887401691075637,"(0.268,0.375]"
2983,1,D,g6tPwYeFzT3Cer5qC,45,3,0.21127289217023645,"(0.181,0.268]"
2983,1,D,sijMDqp4oocvXG8Sv,13,1,0.3867071736340101,"(0.375,0.498]"
2983,1,D,voSMQaG9H4nC4jy32,5,0,0.5168814703733001,"(0.498,0.651]"
2983,1,E,htub6itv8siAtQv22,27,2,0.918646404151432,"(0.825,0.949]"
2983,1,F,4eigY5GthWZfxug8D,27,2,0.06520507812397211,"(0.0427,0.104]"
2983,1,F,4tr7Qqex9u9SjERvu,67,5,0.949621095637397,"(0.949,1]"
2983,1,F,TY9mhHQpa4R5Q5K6H,1,0,0.02458368466711175,"[1.9e-10,0.0427]"
2983,1,F,dBAksjEwZCAZRyqJk,25,2,0.05945480767122554,"(0.0427,0.104]"
2983,1,F,y8EQv9bh29FEwLNLN,66,5,0.2825332639153041,"(0.268,0.375]"
2983,1,G,9AyhLQe5bddaES2Af,10,0,0.04854885431383648,"(0.0427,0.104]"
2983,1,G,FmuScBvZuEj2zegE2,28,2,0.00244966827124088,"[1.9e-10,0.0427]"
2983,1,G,rTdgorcZpRzAdoR3G,39,3,0.12629725839624198,"(0.104,0.181]"
