,workerid,response
0,831,"{""other"": ""N/A"", ""errors"": ""No"", ""length"": ""I would have done more, it was quite fun."", ""interface"": ""No"", ""understand"": ""No everything was clear.""}"
1,842,"{""other"": ""This was quite fun!"", ""errors"": ""No."", ""length"": ""The task length was about right. I suspect people will want longer and shorter versions to suit themselves. "", ""interface"": ""No."", ""understand"": ""The instructions were clear""}"
2,836,"{""other"": ""great study, had fun. no issues, thank you so much."", ""errors"": ""no issues!"", ""length"": ""no it was great, felt like a decent amount of trials and was compatible with the bonus"", ""interface"": ""none."", ""understand"": ""yes very clear had no issues.""}"
3,859,"{""other"": ""non"", ""errors"": ""no"", ""length"": ""the length was okay"", ""interface"": ""no"", ""understand"": ""it was clear""}"
4,818,"{""other"": ""Nope"", ""errors"": ""Nope"", ""length"": ""Longer would be fun"", ""interface"": ""Is alright"", ""understand"": ""Some were very clear, others were weird or confusing.""}"
5,864,"{""other"": ""very engaging and fun experiment"", ""errors"": ""no"", ""length"": ""it was just about right"", ""interface"": ""no"", ""understand"": ""yes they were very clear and nothing was confusing""}"
6,863,"{""other"": ""no"", ""errors"": ""no"", ""length"": ""a tad shorter"", ""interface"": ""it was fine"", ""understand"": ""clear and not confusing""}"
7,845,"{""other"": ""Interesting and unique study because other people gave description."", ""errors"": ""No."", ""length"": ""Managable. i think 60 images is enough, maybe even a little bit too much for some people."", ""interface"": ""I got confused a few times after clicking on image, I didn't realise that the text had changed. So maybe bigger text would be good or something to notify of next text."", ""understand"": ""Yes it was clear.""}"
8,823,"{""other"": ""Enjoyable study. Thank you."", ""errors"": ""No issues at all."", ""length"": ""Task was a really good length."", ""interface"": ""Not at all. Everything was easy to read, placed accordingly."", ""understand"": ""Most of them were quite clear and decisive with their answers. Whereas some, didn't really make sense.""}"
9,814,"{""other"": """", ""errors"": ""Nop."", ""length"": ""It could be a bit shorter for this amount of money."", ""interface"": ""Nope"", ""understand"": ""Yes they were clear""}"
10,824,"{""other"": ""No."", ""errors"": ""No."", ""length"": ""The length was appropriate for the payment, considering the added paying per correct image."", ""interface"": ""No."", ""understand"": ""Yes it was clear.""}"
11,855,"{""other"": ""no"", ""errors"": ""just one minor spelling error"", ""length"": ""quite long"", ""interface"": ""no"", ""understand"": ""yes the instructions were very clear""}"
12,837,"{""other"": ""interesting study"", ""errors"": ""no"", ""length"": ""enough time."", ""interface"": ""no"", ""understand"": ""all ok""}"
13,843,"{""other"": ""no"", ""errors"": ""no"", ""length"": ""the right length"", ""interface"": ""no"", ""understand"": ""yes, all clear""}"
14,865,"{""other"": """", ""errors"": ""no "", ""length"": ""took a bit but wasnt too bad"", ""interface"": ""none"", ""understand"": ""nothing, it was interesting to decipher the descriptions. ""}"
15,840,"{""other"": """", ""errors"": ""no"", ""length"": ""shorter task"", ""interface"": ""no it was fine"", ""understand"": ""no it was clears""}"
16,819,"{""other"": """", ""errors"": ""no"", ""length"": ""more items, longer task"", ""interface"": ""no"", ""understand"": ""yes""}"
