workerid,proliferate.condition,button_rt,condition,correct,correct_tangram,failed_audio,failed_images,failed_video,gameId,internal_node_id,response,rt,selected,stimulus,success,text,time_elapsed,timeout,trial_index,trial_type,type,word,error
810,the one true condition,,,,,[],[],[],,0.0-0.0,,,,,True,,376,False,0,preload,,,
810,the one true condition,,,,,,,,,0.0-1.0,0,1541,," <center><img width=""300px"" src=""assets/stanford.png"" /></center><div id=""legal""></br>By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at  <a href=""mailto://languagecoglab@gmail.com.""> languagecoglab@gmail.com</a>.You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you. </div></br>",,,1918,,1,html-button-response,,,
810,the one true condition,,,,,,,,,0.0-2.0,0,10451,,"<h3>Please read these instructions carefully!</h3> </br><div id=""intro""> <p>In this task, you will see a <b>transcript of a conversation</b> some previous participants had where a <b>speaker identified one of the images to some listeners</b>.</p></br><center><img width=""600px"" src=""assets/demo.png"" /></center></br><p>Your goal is to <b>read the transcript</b> and <b>figure out which image</b> is being described! </p><p>You will <b>click the image</b> you think is being described, and then you will <b>find out if you were right</b>.<p><p>You will see <b>60 trials</b>. The image choices will stay the same, but the transcripts will come from different groups of people. Some of the transcripts may be much shorter or longer than others. Some of the descriptions may be hard to understand -- just take a guess if you are not sure.</p><p>You will get a bonus of <b>5 cents</b> for each image you get right! </p><p> <b>Note:</b> These descriptions came from real people and may contain inappropriate or offensive language. If you find a description inappropriate, please let us know via Prolific message or in the exit survey, so we can filter it out in the future.</p>",,,12370,,2,html-button-response,,,
810,the one true condition,89029,2_rotate_1,False,B,,,,gjooqsuf2CPN5AWxi,0.0-3.0-0.0,6,[],L,,,"[{'role': 'speaker', 'text': ""diamond head on the top, another triangle on the right hand side connecting at the 'neck'"", 'playerId': 'tuNTPZ2dpnLz8EKgu'}]",101400,,3,spr-buttons,selection,[],
810,the one true condition,,,,,,,,,0.0-3.0-1.0,,[],,,,,102307,,4,spr-buttons,feedback,[],
810,the one true condition,6543,6_rotate_6,True,C,,,,57QkWqXASdPMDFRmA,0.0-3.0-0.1,8,[],C,,,"[{'role': 'speaker', 'text': 'ghost', 'playerId': 'G2cRaG8fekyPR6Msn'}, {'role': 'speaker', 'text': 'both arms up high left right', 'playerId': 'G2cRaG8fekyPR6Msn'}, {'role': 'speaker', 'text': 'leaning to left', 'playerId': 'G2cRaG8fekyPR6Msn'}]",108851,,5,spr-buttons,selection,[],
810,the one true condition,,,,,,,,,0.0-3.0-1.1,,[],,,,,109756,,6,spr-buttons,feedback,[],
810,the one true condition,4836,6_rotate_1,True,E,,,,4mKoevW3ykd2FDr7L,0.0-3.0-0.2,2,[],E,,,"[{'role': 'speaker', 'text': 'square head with two triangles on top', 'playerId': 'dWap3TF2ZN4rH5aCK'}, {'role': 'speaker', 'text': 'looks sort of like a bunny', 'playerId': 'dWap3TF2ZN4rH5aCK'}, {'role': 'listener', 'text': 'Body of two triangles', 'playerId': 'jjY6d6CreGdbCxRHY'}, {'role': 'listener', 'text': 'One large', 'playerId': 'jjY6d6CreGdbCxRHY'}, {'role': 'listener', 'text': 'Kneeling', 'playerId': 'xmvvLCzW9MTfzSDYi'}, {'role': 'listener', 'text': 'Yes to kneeling', 'playerId': 'xmvvLCzW9MTfzSDYi'}, {'role': 'speaker', 'text': 'yes to two triangles', 'playerId': 'dWap3TF2ZN4rH5aCK'}, {'role': 'speaker', 'text': 'kneeling*', 'playerId': 'dWap3TF2ZN4rH5aCK'}, {'role': 'speaker', 'text': 'looks like sitting if anything', 'playerId': 'dWap3TF2ZN4rH5aCK'}]",114595,,7,spr-buttons,selection,[],
810,the one true condition,,,,,,,,,0.0-3.0-1.2,,[],,,,,115500,,8,spr-buttons,feedback,[],
810,the one true condition,26507,6_rotate_1,True,F,,,,znSiJdhs7sWk5xhgA,0.0-3.0-0.3,1,[],F,,,"[{'role': 'speaker', 'text': 'sitting down in slouched position facing left', 'playerId': 'HaYEtB56fe33ZSXjw'}, {'role': 'listener', 'text': 'legs out to the left', 'playerId': 'MJxZ4a3KWksjWMEYq'}, {'role': 'speaker', 'text': 'proper body shape', 'playerId': 'HaYEtB56fe33ZSXjw'}, {'role': 'listener', 'text': 'knees bent', 'playerId': 'y9i8sGWvbi53Zby2v'}, {'role': 'speaker', 'text': 'yes - knees bent', 'playerId': 'HaYEtB56fe33ZSXjw'}]",142010,,9,spr-buttons,selection,[],
