workerid,proliferate.condition,button_rt,condition,correct,correct_tangram,failed_audio,failed_images,failed_video,gameId,internal_node_id,response,rt,selected,stimulus,success,text,time_elapsed,timeout,trial_index,trial_type,type,word,error
831,the only one,,,,,[],[],[],,0.0-0.0,,,,,True,,372,False,0,preload,,,
831,the only one,,,,,,,,,0.0-1.0,0,2505,," <center><img width=""300px"" src=""assets/stanford.png"" /></center><div id=""legal""></br>By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. If you have questions about this research, please contact us at  <a href=""mailto://languagecoglab@gmail.com.""> languagecoglab@gmail.com</a>.You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you. </div></br>",,,2879,,1,html-button-response,,,
831,the only one,,,,,,,,,0.0-2.0,0,34755,,"<h3>Please read these instructions carefully!</h3> </br><div id=""intro""> <p>In this task, you will see a <b>transcript of a conversation</b> some previous participants had where a <b>speaker identified one of the images to some listeners</b>.</p></br><center><img width=""600px"" src=""assets/demo.png"" /></center></br><p>Your goal is to <b>read the transcript</b> and <b>figure out which image</b> is being described! </p><p>You will <b>click the image</b> you think is being described, and then you will <b>find out if you were right</b>.<p><p>You will see <b>60 trials</b>. The image choices will stay the same, but the transcripts will come from different groups of people. Some of the transcripts may be much shorter or longer than others. Some of the descriptions may be hard to understand -- just take a guess if you are not sure.</p><p>You will get a bonus of <b>5 cents</b> for each image you get right! </p><p> <b>Note:</b> These descriptions came from real people and may contain inappropriate or offensive language. If you find a description inappropriate, please let us know via Prolific message or in the exit survey, so we can filter it out in the future.</p>",,,37635,,2,html-button-response,,,
831,the only one,21654,2_rotate_1,True,D,,,,79swBZFsJnrQuHvhd,0.0-3.0-0.0,1,[],D,,,"[{'role': 'speaker', 'text': 'man standing holding a box with an open lid in front of him to the left', 'playerId': 'wQmTAXk3WXqT2b275'}]",59291,,3,spr-buttons,selection,[],
831,the only one,,,,,,,,,0.0-3.0-1.0,,[],,,,,60207,,4,spr-buttons,feedback,[],
831,the only one,6767,2_rotate_6,True,I,,,,GpF4Ge9YCd7ih3DFr,0.0-3.0-0.1,9,[],I,,,"[{'role': 'speaker', 'text': 'skater!', 'playerId': '9DEoh9BWkZFYxhECs'}]",66976,,5,spr-buttons,selection,[],
831,the only one,,,,,,,,,0.0-3.0-1.1,,[],,,,,67895,,6,spr-buttons,feedback,[],
831,the only one,7873,2_rotate_1,True,E,,,,YLCrDGMMiennGjggY,0.0-3.0-0.2,11,[],E,,,"[{'role': 'speaker', 'text': 'this one kinda looks like a rabbit', 'playerId': '9KnsNqjRjt4q7CtbN'}, {'role': 'speaker', 'text': 'sitting on the ground', 'playerId': '9KnsNqjRjt4q7CtbN'}, {'role': 'speaker', 'text': 'a long bottom and a head with ears standing out', 'playerId': '9KnsNqjRjt4q7CtbN'}, {'role': 'speaker', 'text': 'it has a triangular body', 'playerId': '9KnsNqjRjt4q7CtbN'}]",75774,,7,spr-buttons,selection,[],
831,the only one,,,,,,,,,0.0-3.0-1.2,,[],,,,,76693,,8,spr-buttons,feedback,[],
831,the only one,15399,2_rotate_1,True,D,,,,dBAksjEwZCAZRyqJk,0.0-3.0-0.3,1,[],D,,,"[{'role': 'speaker', 'text': 'looks like a person with their hands out asking or like begging u could say', 'playerId': 'g2sowCsDmoh28sbgq'}, {'role': 'speaker', 'text': 'they are stood up', 'playerId': 'g2sowCsDmoh28sbgq'}]",92095,,9,spr-buttons,selection,[],
